,year,make,model,trim,mileage,AWD/FWD,price
252,2015,Ford,Edge,Titanium,47851,FWD,20995
253,2015,Ford,Edge,SEL,104010,AWD,16995
254,2015,Ford,Edge,SEL,94566,AWD,16998
255,2015,Ford,Edge,SEL,43412,FWD,14711
256,2015,Ford,Edge,Sport,38793,AWD,23994
257,2015,Ford,Edge,SEL,43591,FWD,25995
258,2015,Ford,Edge,SEL,58329,FWD,16995
259,2015,Ford,Edge,SEL,43580,AWD,21299
260,2015,Ford,Edge,Sport,71531,FWD,21000
261,2015,Ford,Edge,Sport,71531,FWD,21000
262,2015,Ford,Edge,SE,77362,AWD,14090
263,2015,Ford,Edge,SE,73361,FWD,
264,2015,Ford,Edge,SEL,49555,FWD,17991
265,2015,Ford,Edge,SEL,77318,AWD,16988
266,2015,Ford,Edge,SEL,43668,AWD,21199
267,2015,Ford,Edge,SEL,54812,AWD,16999
268,2015,Ford,Edge,SEL,77684,AWD,16999
269,2015,Ford,Edge,SEL,74270,AWD,16950
270,2015,Ford,Edge,SEL,64640,FWD,16999
271,2015,Ford,Edge,SE,23010,FWD,13999
272,2015,Ford,Edge,SEL,122008,AWD,16994
273,2015,Ford,Edge,Titanium,85655,AWD,18899
274,2015,Ford,Edge,SEL,43100,AWD,21595
275,2015,Ford,Edge,SEL,96656,FWD,16950
276,2015,Ford,Edge,SEL,43249,AWD,21331
277,2015,Ford,Edge,SEL,94566,AWD,16998
278,2015,Ford,Edge,SEL,43378,AWD,22988
279,2015,Ford,Edge,SEL,46589,AWD,18785
280,2015,Ford,Edge,SE,74000,FWD,14000
281,2015,Ford,Edge,SEL,99213,AWD,
282,2015,Ford,Edge,Titanium,36590,AWD,21398
283,2015,Ford,Edge,SE,72085,FWD,14958
284,2015,Ford,Edge,SE,68283,AWD,14988
285,2015,Ford,Edge,Titanium,90302,FWD,18995
286,2015,Ford,Edge,SEL,77281,FWD,17322
287,2015,Ford,Edge,SEL,44115,AWD,22495
288,2015,Ford,Edge,SEL,70879,FWD,17372
289,2015,Ford,Edge,SEL,47599,AWD,18750
290,2015,Ford,Edge,SEL,95493,FWD,17421
291,2015,Ford,Edge,Titanium,62518,AWD,19000
292,2015,Ford,Edge,SEL,95586,AWD,17290
293,2015,Ford,Edge,Sport,94015,AWD,21495
294,2015,Ford,Edge,Titanium,64561,AWD,18995
295,2015,Ford,Edge,SEL,101222,AWD,17275
296,2015,Ford,Edge,SEL,56048,AWD,17327
297,2015,Ford,Edge,Titanium,75368,AWD,18995
298,2015,Ford,Edge,Titanium,52214,AWD,19900
299,2015,Ford,Edge,SEL,44330,AWD,20694
300,2015,Ford,Edge,Sport,48001,AWD,21500
301,2015,Ford,Edge,SEL,44045,AWD,19876
302,2015,Ford,Edge,Sport,43651,AWD,
303,2015,Ford,Edge,Titanium,58470,AWD,21500
304,2015,Ford,Edge,SEL,37694,AWD,19600
305,2015,Ford,Edge,SEL,48392,AWD,20925
306,2015,Ford,Edge,SEL,36307,AWD,18500
307,2015,Ford,Edge,SEL,44945,AWD,21990
308,2015,Ford,Edge,Titanium,78177,AWD,19444
309,2015,Ford,Edge,SE,73755,FWD,14500
310,2015,Ford,Edge,SEL,63918,AWD,17500
311,2015,Ford,Edge,Titanium,68848,FWD,19300
312,2015,Ford,Edge,SEL,45098,FWD,19973
313,2015,Ford,Edge,Titanium,35188,FWD,19497
314,2015,Ford,Edge,SE,137398,AWD,14495
315,2015,Ford,Edge,SEL,48274,AWD,18800
316,2015,Ford,Edge,Titanium,78950,FWD,19499
317,2015,Ford,Edge,Titanium,79318,AWD,19470
318,2015,Ford,Edge,SEL,45104,AWD,23995
319,2015,Ford,Edge,SEL,74293,AWD,17631
320,2015,Ford,Edge,Sport,44290,AWD,25237
321,2015,Ford,Edge,SEL,52774,FWD,21000
322,2015,Ford,Edge,SEL,70094,FWD,19991
323,2015,Ford,Edge,SEL,34072,FWD,20496
324,2015,Ford,Edge,SE,70024,AWD,16995
325,2015,Ford,Edge,SEL,55960,FWD,19995
326,2015,Ford,Edge,Titanium,60387,AWD,22335
327,2015,Ford,Edge,Titanium,60387,AWD,22335
328,2015,Ford,Edge,Sport,31698,AWD,27053
329,2015,Ford,Edge,Sport,32502,AWD,24995
330,2015,Ford,Edge,Titanium,115371,AWD,
331,2015,Ford,Edge,SEL,18832,AWD,22000
332,2015,Ford,Edge,SEL,28954,AWD,21995
333,2015,Ford,Edge,Titanium,23903,AWD,24995
334,2015,Ford,Edge,SE,19836,FWD,21500
335,2015,Ford,Edge,SEL,104478,FWD,11999
336,2015,Ford,Edge,SEL,125048,FWD,13995
337,2015,Ford,Edge,SE,20234,AWD,19988
338,2015,Ford,Edge,Titanium,32158,AWD,21821
339,2015,Ford,Edge,SEL,30822,AWD,22904
340,2015,Ford,Edge,Titanium,17974,AWD,26995
341,2015,Ford,Edge,SEL,64803,FWD,20850
342,2015,Ford,Edge,Titanium,103982,AWD,14996
343,2015,Ford,Edge,SEL,28680,AWD,23950
344,2015,Ford,Edge,Titanium,18338,AWD,25498
345,2015,Ford,Edge,Sport,19532,AWD,
346,2015,Ford,Edge,Titanium,35724,AWD,24980
347,2015,Ford,Edge,Sport,64401,AWD,24995
348,2015,Ford,Edge,SEL,3963,FWD,25487
349,2015,Ford,Edge,SEL,18054,FWD,19995
350,2015,Ford,Edge,Titanium,16019,AWD,23998
351,2015,Ford,Edge,Titanium,37952,FWD,24770
352,2015,Ford,Edge,Titanium,35785,AWD,22995
353,2015,Ford,Edge,SEL,34552,AWD,21990
354,2015,Ford,Edge,Sport,52736,AWD,24742
355,2015,Ford,Edge,Titanium,51778,AWD,22827
356,2015,Ford,Edge,SEL,49769,AWD,24920
357,2015,Ford,Edge,Titanium,88287,AWD,20777
358,2015,Ford,Edge,Titanium,47546,AWD,21900
359,2015,Ford,Edge,SEL,81402,FWD,17688
360,2015,Ford,Edge,SEL,56122,FWD,17900
361,2015,Ford,Edge,Sport,50316,AWD,22000
362,2015,Ford,Edge,SEL,45676,AWD,20995
363,2015,Ford,Edge,SEL,71821,AWD,17795
364,2015,Ford,Edge,SEL,87592,AWD,17762
365,2015,Ford,Edge,SEL,46372,FWD,19920
366,2015,Ford,Edge,SEL,62387,AWD,17900
367,2015,Ford,Edge,SEL,58000,AWD,17700
368,2015,Ford,Edge,SEL,26247,AWD,17699
369,2015,Ford,Edge,SEL,45969,AWD,21635
370,2015,Ford,Edge,SEL,46165,AWD,22950
371,2015,Ford,Edge,SEL,76456,AWD,18999
372,2015,Ford,Edge,Titanium,52109,AWD,21799
373,2015,Ford,Edge,Titanium,67090,AWD,20900
374,2015,Ford,Edge,Titanium,75000,AWD,20995
375,2015,Ford,Edge,Titanium,48980,AWD,22995
376,2015,Ford,Edge,Titanium,79201,AWD,20045
377,2015,Ford,Edge,Titanium,74049,AWD,19937
