,0,1,2,3,4,5,6,7
147,2014,Ford,Edge,SEL,FWD,26723,N/A,
148,2016,Ford,Edge,SEL,FWD,37697,N/A,
149,2016,Ford,Edge,Titanium,FWD,51545,N/A,
150,2016,Ford,Edge,SEL,AWD,37987,N/A,
151,2015,Ford,Edge,SEL,FWD,23369,N/A,
152,2015,Ford,Edge,Titanium,FWD,44734,N/A,
153,2017,Ford,Edge,SEL,AWD,51817,N/A,
154,2016,Ford,Edge,Titanium,AWD,52131,N/A,
155,2015,Ford,Edge,SE,FWD,48213,N/A,
156,2016,Ford,Edge,Titanium,FWD,52532,N/A,
157,2015,Ford,Edge,SEL,FWD,44204,N/A,
158,2016,Ford,Edge,SE,FWD,52828,N/A,
159,2015,Ford,Edge,Sport,FWD,39866,N/A,
160,2015,Ford,Edge,SEL,FWD,47748,N/A,
161,2016,Ford,Edge,Titanium,AWD,56490,N/A,
162,2014,Ford,Edge,SEL,FWD,39937,N/A,
163,2016,Ford,Edge,SEL,AWD,27866,N/A,
164,2016,Ford,Edge,SEL,FWD,28417,N/A,
165,2017,Ford,Edge,SEL,FWD,34588,N/A,
166,2016,Ford,Edge,Sport,AWD,29316,N/A,
167,2017,Ford,Edge,SEL,AWD,31058,N/A,
168,2015,Ford,Edge,SEL,FWD,27062,N/A,
169,2015,Ford,Edge,Titanium,AWD,22090,N/A,
170,2017,Ford,Edge,Titanium,FWD,40008,N/A,
171,2016,Ford,Edge,SEL,AWD,30940,N/A,
172,2016,Ford,Edge,SE,FWD,31730,N/A,
173,2016,Ford,Edge,SEL,FWD,26530,N/A,
174,2016,Ford,Edge,SEL,AWD,31949,N/A,
175,2015,Ford,Edge,Titanium,AWD,24301,N/A,
176,2016,Ford,Edge,SEL,AWD,32586,N/A,
177,2015,Ford,Edge,SEL,FWD,20050,N/A,
178,2016,Ford,Edge,SEL,AWD,25470,N/A,
179,2017,Ford,Edge,Titanium,FWD,53989,N/A,
180,2016,Ford,Edge,SEL,FWD,25718,N/A,
181,2016,Ford,Edge,SEL,FWD,32456,N/A,
182,2016,Ford,Edge,SE,FWD,31772,N/A,
183,2016,Ford,Edge,SEL,AWD,36245,N/A,
184,2017,Ford,Edge,SEL,AWD,35093,N/A,
185,2015,Ford,Edge,SEL,FWD,28503,N/A,
186,2016,Ford,Edge,SEL,AWD,35775,N/A,
187,2016,Ford,Edge,SE,AWD,37587,N/A,
188,2016,Ford,Edge,Titanium,AWD,37811,N/A,
189,2015,Ford,Edge,SEL,AWD,19094,N/A,
190,2015,Ford,Edge,SE,FWD,29989,N/A,
191,2016,Ford,Edge,Sport,AWD,38953,N/A,
192,2016,Ford,Edge,SE,FWD,29823,N/A,
193,2017,Ford,Edge,Sport,AWD,15641,N/A,
194,2016,Ford,Edge,Titanium,AWD,15158,N/A,
195,2018,Ford,Edge,Titanium,AWD,36507,N/A,
196,2017,Ford,Edge,SEL,AWD,18586,N/A,
197,2018,Ford,Edge,Titanium,FWD,32861,N/A,
198,2018,Ford,Edge,Titanium,AWD,33101,N/A,
199,2018,Ford,Edge,Titanium,AWD,33819,N/A,
200,2018,Ford,Edge,SEL,AWD,34052,N/A,
201,2016,Ford,Edge,Sport,AWD,17650,N/A,
202,2017,Ford,Edge,Titanium,AWD,26042,N/A,
203,2018,Ford,Edge,Titanium,AWD,34712,N/A,
204,2017,Ford,Edge,SE,AWD,26684,N/A,
205,2017,Ford,Edge,SE,FWD,18604,N/A,
206,2016,Ford,Edge,SEL,FWD,22645,N/A,
207,2018,Ford,Edge,Titanium,AWD,34576,N/A,
208,2016,Ford,Edge,SEL,FWD,36007,N/A,
209,2016,Ford,Edge,SEL,FWD,21570,N/A,
210,2018,Ford,Edge,Titanium,AWD,38951,N/A,
211,2016,Ford,Edge,Titanium,FWD,26412,N/A,
212,2017,Ford,Edge,SE,AWD,30776,N/A,
213,2016,Ford,Edge,Titanium,AWD,22648,N/A,
214,2018,Ford,Edge,Titanium,AWD,39929,N/A,
215,2018,Ford,Edge,Titanium,AWD,40726,N/A,
216,2017,Ford,Edge,SEL,AWD,32918,N/A,
217,2015,Ford,Edge,SEL,AWD,36045,N/A,
218,2016,Ford,Edge,SEL,AWD,22258,N/A,
219,2016,Ford,Edge,SEL,AWD,39422,N/A,
220,2017,Ford,Edge,SEL,AWD,26234,N/A,
221,2016,Ford,Edge,SE,AWD,31302,N/A,
222,2016,Ford,Edge,Titanium,FWD,18414,N/A,
223,2018,Ford,Edge,SEL,AWD,9849,N/A,
224,2018,Ford,Edge,SEL,AWD,10009,N/A,
225,2018,Ford,Edge,Sport,AWD,11541,N/A,
226,2018,Ford,Edge,Sport,AWD,12130,N/A,
227,2018,Ford,Edge,SEL,AWD,20075,N/A,
228,2018,Ford,Edge,Sport,AWD,24035,N/A,
229,2018,Ford,Edge,Sport,AWD,17084,N/A,
230,2017,Ford,Edge,SEL,AWD,9272,N/A,
231,2018,Ford,Edge,SEL,AWD,22799,N/A,
232,2018,Ford,Edge,Titanium,AWD,33279,N/A,
233,2018,Ford,Edge,Titanium,AWD,38755,N/A,
234,2018,Ford,Edge,Titanium,FWD,18159,N/A,
235,2018,Ford,Edge,Titanium,AWD,24084,N/A,
236,2015,Ford,Edge,SEL,AWD,18190,N/A,
237,2017,Ford,Edge,SEL,AWD,23729,N/A,
238,2018,Ford,Edge,SEL,FWD,13861,N/A,
239,2017,Ford,Edge,SEL,AWD,21546,N/A,
240,2018,Ford,Edge,Titanium,AWD,32176,N/A,
241,2018,Ford,Edge,SEL,AWD,10340,N/A,
242,2017,Ford,Edge,Titanium,AWD,19249,N/A,
243,2018,Ford,Edge,Titanium,AWD,28222,N/A,
244,2018,Ford,Edge,SEL,AWD,28279,N/A,
245,2017,Ford,Edge,SE,FWD,20053,N/A,
246,2017,Ford,Edge,SEL,AWD,19799,N/A,
247,2017,Ford,Edge,SEL,AWD,19905,N/A,
248,2017,Ford,Edge,Titanium,FWD,20954,N/A,
249,2018,Ford,Edge,SEL,FWD,31781,N/A,
250,2016,Ford,Edge,Titanium,AWD,17589,N/A,
251,2017,Ford,Edge,Titanium,FWD,22725,N/A,
252,2016,Ford,Edge,SEL,AWD,15081,N/A,
253,2018,Ford,Edge,Titanium,FWD,12346,34980,
254,2016,Ford,Edge,SEL,AWD,13851,32688,
255,2018,Ford,Edge,Titanium,AWD,39288,33604,
256,2018,Ford,Edge,Sport,AWD,25736,34995,
257,2016,Ford,Edge,SEL,AWD,20207,34680,
258,2016,Ford,Edge,Sport,AWD,23072,33900,
259,2016,Ford,Edge,Titanium,AWD,3511,36988,
260,2016,Ford,Edge,SEL,AWD,49167,33785,
261,2007,Ford,Edge,SEL,FWD,154209,18987,
262,2017,Ford,Edge,SEL,AWD,135606,27990,
263,2016,Ford,Edge,Sport,AWD,38958,41795,
264,2018,Ford,Edge,Titanium,AWD,36072,49988,
265,2019,Ford,Edge,ST,AWD,146,N/A,
266,2019,Ford,Edge,SE,FWD,6545,N/A,
267,2019,Ford,Edge,SEL,AWD,2038,N/A,
268,2019,Ford,Edge,SEL,AWD,2054,N/A,
269,2019,Ford,Edge,ST,AWD,2316,N/A,
270,2018,Ford,Edge,Titanium,FWD,200,N/A,
271,2018,Ford,Edge,Sport,AWD,5850,N/A,
272,2018,Ford,Edge,SE,FWD,4707,N/A,
273,2018,Ford,Edge,Sport,AWD,8417,N/A,
274,2018,Ford,Edge,SE,AWD,5420,N/A,
275,2018,Ford,Edge,Titanium,AWD,12796,N/A,
276,2018,Ford,Edge,SE,FWD,5720,N/A,
277,2018,Ford,Edge,SEL,AWD,6036,N/A,
278,2019,Ford,Edge,SEL,AWD,2286,N/A,
279,2018,Ford,Edge,Sport,AWD,8825,N/A,
280,2018,Ford,Edge,Sport,AWD,8823,N/A,
281,2018,Ford,Edge,SEL,AWD,8869,N/A,
282,2018,Ford,Edge,SEL,FWD,5529,N/A,
283,2016,Ford,Edge,Titanium,AWD,83903,23986,
284,2015,Ford,Edge,Titanium,AWD,48942,25995,
285,2017,Ford,Edge,Sport,AWD,18905,32857,
286,2018,Ford,Edge,SEL,AWD,14807,29995,
287,2017,Ford,Edge,Titanium,AWD,26200,29967,
288,2018,Ford,Edge,SEL,AWD,2105,31900,
289,2019,Ford,Edge,ST,AWD,7076,42991,
290,2018,Ford,Edge,Titanium,AWD,47514,27991,
291,2018,Ford,Edge,SE,AWD,3125,32595,
292,2017,Ford,Edge,Titanium,AWD,49035,28185,
293,2019,Ford,Edge,ST,AWD,5194,43895,
294,2019,Ford,Edge,ST,AWD,2256,43777,
295,2018,Ford,Edge,Sport,AWD,6861,35091,
296,2015,Ford,Edge,Titanium,AWD,29211,28495,
297,2016,Ford,Edge,Titanium,AWD,31752,28495,
298,2016,Ford,Edge,Sport,AWD,45125,27999,
299,2018,Ford,Edge,Titanium,AWD,37387,30099,
300,2017,Ford,Edge,Titanium,AWD,53355,27995,
301,2018,Ford,Edge,Sport,AWD,8898,34950,
302,2016,Ford,Edge,Titanium,AWD,26776,29995,
303,2016,Ford,Edge,Sport,AWD,28171,29900,
304,2016,Ford,Edge,Sport,AWD,56689,27333,
305,2015,Ford,Edge,Sport,AWD,24626,28988,
306,2018,Ford,Edge,SEL,AWD,95,33950,
307,2016,Ford,Edge,Sport,AWD,30918,30150,
308,2016,Ford,Edge,Sport,AWD,33174,30000,
309,2019,Ford,Edge,ST,AWD,1877,45995,
310,2018,Ford,Edge,Titanium,FWD,2579,33990,
311,2016,Ford,Edge,Sport,AWD,32595,30998,
312,2016,Ford,Edge,Sport,AWD,31375,31200,
313,2015,Ford,Edge,Titanium,AWD,89095,20995,
314,2018,Ford,Edge,Titanium,AWD,24657,28996,
315,2015,Ford,Edge,Titanium,AWD,42621,24995,
316,2016,Ford,Edge,Titanium,FWD,47840,25443,
317,2012,Ford,Edge,Sport,AWD,116305,16000,
318,2017,Ford,Edge,Titanium,AWD,40520,26990,
319,2016,Ford,Edge,SEL,AWD,21142,28384,
320,2018,Ford,Edge,Sport,AWD,15071,32495,
321,2015,Ford,Edge,Titanium,FWD,38623,25990,
322,2018,Ford,Edge,Titanium,AWD,19120,29647,
323,2018,Ford,Edge,Titanium,AWD,31461,27991,
324,2016,Ford,Edge,Titanium,FWD,44685,25996,
325,2016,Ford,Edge,SEL,AWD,84420,22608,
326,2018,Ford,Edge,Titanium,AWD,27922,28734,
327,2018,Ford,Edge,Titanium,AWD,31438,28885,
328,2018,Ford,Edge,Titanium,AWD,34989,27600,
329,2008,Ford,Edge,Limited,FWD,191986,7980,
330,2018,Ford,Edge,Titanium,AWD,46966,27997,
331,2018,Ford,Edge,Titanium,FWD,11156,29990,
332,2014,Ford,Edge,Sport,AWD,45827,24833,
333,2008,Ford,Edge,Limited,FWD,191264,8991,
334,2015,Ford,Edge,Sport,AWD,41405,25988,
335,2018,Ford,Edge,Titanium,AWD,28244,28969,
336,2016,Ford,Edge,Titanium,AWD,53514,25750,
337,2016,Ford,Edge,Titanium,FWD,88709,22991,
338,2018,Ford,Edge,Sport,AWD,10785,34000,
339,2018,Ford,Edge,SEL,FWD,19,32057,
340,2015,Ford,Edge,Titanium,AWD,12136,28319,
